cust_nbr1
11846
11852
14478
14542
15258
16307
16959
20327
20462
21815
22386
22920
25593
27700
27734
28004
28839
29751
30394
31286
31389
31434
31919
49288
124115
211854
275743
316687
385997
413625
532879
538603
608232
626549
627133
702597
723882
732065
732339
760751
782003
795104
824615
863803
910273
919183
919191
934166
938308
948588
951475
967265
969170
976423
983452
990119
993253
11477
13820
16906
25310
25861
31030
386938
452425
552968
825786
895805
969683
19763
23010
24329
28381
549907
869115
13614
589150
634535
865220
899971
30934
32310
909655
13247
24918
32120
227249
30286
31078
891317
25764
30122
32515
573279
31460
32794
31521
8185
914283
17141
22049
917815
16055
20061
26367
28278
732792
779124
795195
822007
27823
625541
22463
31066
101134
15100
33673
371773
551994
956953
30492
33025
34016
27876
732800
849364
901082
29538
23873
33688
34379
16033
21575
34045
722132
956425
962076
1230
15772
16229
16526
17067
17390
17403
17429
19872
28314
34123
34626
35256
306993
992792
10264
12535
13560
13617
15391
15617
15619
16002
16232
16233
16235
16238
16510
18037
18628
20035
20528
25168
317081
869156
912576
944249
948091
955328
972596
976183
982579
987065
990689
11355
15653
15942
16662
18632
18689
19967
20715
24189
24721
27777
30165
30277
31029
33332
33518
33748
34572
34655
35257
35280
67207
140699
149997
391151
641894
708867
745307
805531
852707
891085
920918
921197
934919
979435
983098
990549
993493
