cust_nbr1
14478
14542
20327
21815
22920
27700
28004
29751
31389
275743
385997
532879
608232
702597
723882
782003
824615
863803
938308
969170
976423
990119
11477
16906
25861
452425
825786
969683
19763
28381
549907
13614
634535
899971
909655
13247
24918
32120
227249
30122
31460
8185
17141
22049
16055
26367
795195
822007
625541
101134
956953
33025
34379
16229
17390
306993
869156
948091
955328
976183
11355
15653
15942
16662
20715
24189
24721
27777
30277
31029
34655
35257
35280
67207
140699
641894
745307
805531
891085
921197
990549
