cust_nbr1
11846
11852
12747
15258
16273
16307
16959
17136
20462
22386
25593
27734
28839
30394
31286
31434
31919
49288
124115
211854
316687
391235
413625
538603
626549
627133
732065
732339
745315
760751
795104
828277
869040
875237
910273
919183
919191
934166
948588
951475
967265
983452
993253
13820
21698
25310
31030
386938
552968
610881
895805
17284
23010
24329
27757
869115
10769
16081
589150
865220
14301
30934
32310
896548
908897
26155
30286
31078
891317
25764
32515
32616
573279
32794
31521
700419
914283
917815
20061
23198
26892
28278
406280
732792
779124
917344
27823
30640
22463
31066
15100
33673
371773
551994
30492
34016
27876
732800
831313
629428
849364
901082
29538
23873
33688
16033
21575
28946
34045
722132
956425
962076
1230
15772
16526
17067
17403
17429
19872
28314
28867
34123
34626
35256
992792
10264
11380
12535
13560
13617
15391
15617
15619
16002
16232
16233
16235
16238
16510
16695
18037
18628
20035
20528
20529
25168
34125
317081
744656
912576
944249
972596
982579
987065
990689
18632
18689
19967
30165
33332
33518
33748
34572
149997
391151
708867
852707
920918
934919
979435
983098
993493
6809
12557
17059
31534
31616
32544
33541
34641
34811
34847
35272
35339
35467
887588
907816
943159
