fisc_wk_id1,cust_nbr1,actual_purchases,predictions,lr_predictions,matches
202340,1628,0,0,0,True
202340,3129,0,0,0,True
202340,10470,0,0,0,True
202340,11759,0,0,0,True
202340,11846,1,1,0,True
202340,11852,1,1,0,True
202340,12403,0,0,0,True
202340,12554,0,0,0,True
202340,12746,0,0,0,True
202340,12747,1,0,0,False
202340,13616,0,0,0,True
202340,13824,0,0,0,True
202340,14478,0,1,0,False
202340,14542,0,1,0,False
202340,14743,0,0,0,True
202340,15258,1,1,0,True
202340,15984,0,0,0,True
202340,16273,1,0,0,False
202340,16307,1,1,0,True
202340,16436,0,0,0,True
202340,16461,0,0,0,True
202340,16485,0,0,0,True
202340,16627,0,0,0,True
202340,16676,0,0,0,True
202340,16959,1,1,0,True
202340,17112,0,0,0,True
202340,17136,1,0,0,False
202340,17441,0,0,0,True
202340,18464,0,0,0,True
202340,18724,0,0,0,True
202340,19005,0,0,0,True
202340,19114,0,0,0,True
202340,19595,0,0,0,True
202340,20191,0,0,0,True
202340,20327,0,1,0,False
202340,20462,1,1,0,True
202340,21815,0,1,0,False
202340,22022,0,0,0,True
202340,22353,0,0,0,True
202340,22386,1,1,0,True
202340,22920,0,1,0,False
202340,24413,0,0,0,True
202340,24804,0,0,0,True
202340,25190,0,0,0,True
202340,25511,0,0,0,True
202340,25579,0,0,0,True
202340,25593,1,1,0,True
202340,25779,0,0,0,True
202340,26470,0,0,0,True
202340,26595,0,0,0,True
202340,26660,0,0,0,True
202340,26683,0,0,0,True
202340,26716,0,0,0,True
202340,26971,0,0,0,True
202340,27700,0,1,0,False
202340,27734,1,1,0,True
202340,28004,0,1,0,False
202340,28839,1,1,0,True
202340,29751,0,1,0,False
202340,29753,0,0,0,True
202340,29803,0,0,0,True
202340,29893,0,0,0,True
202340,30058,0,0,0,True
202340,30159,0,0,0,True
202340,30219,0,0,0,True
202340,30356,0,0,0,True
202340,30394,1,1,0,True
202340,30404,0,0,0,True
202340,30790,0,0,0,True
202340,31286,1,1,0,True
202340,31389,0,1,0,False
202340,31434,1,1,0,True
202340,31563,0,0,0,True
202340,31919,1,1,0,True
202340,49288,1,1,0,True
202340,71746,0,0,0,True
202340,124115,1,1,0,True
202340,211854,1,1,0,True
202340,217505,0,0,0,True
202340,252890,0,0,0,True
202340,267245,0,0,0,True
202340,275743,0,1,0,False
202340,281659,0,0,0,True
202340,296616,0,0,0,True
202340,316687,1,1,0,True
202340,357012,0,0,0,True
202340,385997,0,1,0,False
